학교명,위치,학생수,예산(만원),매칭교과,강좌명,활동목표
경북체육중학교,경산시,28,730,국어,문학에 빠지다,"
 1. 문학에 대한 이해를 높이고, 책 읽기를 통하여 문학에 대한 이해를 기를 수 있다.
 2. 독후 다양한 활동을 통해 표현력을 높이고 문학적 감수성을 기를 수 있다."
경북체육중학교,경산시,28,730,사회,영화 속 사회,"
 1. 일본군 위안부와 관련된 자료를 찾아 그 실상을 알고, 홍보 굿즈를 제작해 보면서 우리의 역할과 책임감을 느낄 수 있다.
 2. 일본군 위안부의 실상을 전 세계에 알리기 위한 홍보 계획을 세운 후 홍보하고 싶은 나라의 랜드마크를 찾아 스티커 제작물을 만들 수 있다."
경북체육중학교,경산시,28,730,과학,내가 닮고 싶은 과학자 이야기,"
 1. 과학자가 들려주는 과학 이야기를 읽고 내가 닮고 싶은 과학자에 대한 자료를 조사하여 분석, 정리 하여 나만의 과학책을 만들 수 있다.
 2. 자신이 만든 과학책을 친구들에게 소개하고 감상평을 듣고 쓰는 활동을 통해 과학지식을 재해석하 고 토론할 수 있다."
경산여자중학교,경산시,269,,국어,시 감상과 모방시 창작,"
 1. 문학은 심미적 체험을 바탕으로 한 다양한 소통 활동임을 알고 문학 활동을 할 수 있다. 
 2. 시 작품을 감상 한 후 가장 감명받은 작품을 선정 한 후 작품을 기초로 한 편의 모방시를 창작한다.
 3. 모둠화 그리기 및 신문 스크랩만들기"
경산여자중학교,경산시,269,,사회,내가 만들어가는 민주정치,"
1. 민주 정치를 실현하기 위한 노력을 국가와 시민의 차원에서 탐구하여 설명할 수 있다.
2. 다양한 가치와 이익이 정치과정을 통해 조정되고, 정치과정에 참여하는 정치 주체의 역할을 설명할 수 있다."
경산여자중학교,경산시,269,,과학,인간과 생태 환경,"
1. 인간이 환경에 미치는 영향을 이해하고 인간으로 인한 환경의 파괴를 설명할 수 있다.
2. 환경파괴로 인한 결과가 인간에게 미치는 영향을 알 수 있다."
경산여자중학교,경산시,269,,기술가정,아두이노를 활용한 엔트리 인공지능 코딩 ,"
1. 인공지능, SW에 대해 알아보고 아두이노 키트를 활용해 학생들에게 소프트웨어 기본소양을 
 증진한다.
2. 컴퓨팅 사고력 뿐만 아니라 메이커 활동을 통한 창의력과 문제해결력을 신장한다."
경산중학교,경산시,220,2700,국어,"북적북적(책 읽고, 쓰기)","독서 활동을 통해 세상을 보는 바른 안목과 태도를 형성하고, 올바른 가치관을 정립하며 성장할 수 있도록 한다."
경산중학교,경산시,220,2700,수학,수학으로 보는 세상,"다양한 수학 체험 활동을 통하여 수학에 대한 흥미를 불러일으키고, 수학의 필요성과 수학적 의사소통 능력, 창의적 사고력을 기를 수 있도록 한다."
경산중학교,경산시,220,2700,영어,영어로 만나는 세상,"
1. 영어를 매개로 하는 다양한 컨텐츠를 원어 그대로 접하여 생생한 영어 표현을 익힐 수 있다."
