학교,체험처,학교_위도,학교_경도,체험처_위도,체험처_경도
경북체육중학교,과학교육서포터즈운영,35.81222619,128.7380534,35.9526215,128.900975
경북체육중학교,과학창작 VR캠프,35.81222619,128.7380534,35.82159,128.82356
경북체육중학교,"뭐야! 와인이 과학이라고!? 99.9%과일만으로  만들어지는 와인, 어떻게 만들어질까?",35.81222619,128.7380534,35.92362,128.89645
경북체육중학교,특수효과전문가(중학생을 위한 미래유망직업 소개)_토라사이언스,35.81222619,128.7380534,36.1084915,128.1878133
경북체육중학교,"화석과 광물의 세계(지질학자, 고고학자 체험)",35.81222619,128.7380534,36.1582024,128.2603792
경북체육중학교,"김동리, 박목월 선생님 일대기(시인, 소설가와의 만남, 방송작가, 드라마 영화작가 연계체험)",35.81222619,128.7380534,35.7855363,129.3194854
경북체육중학교,뭐야! 와인이 예술이라고!? 와인에 숨어있는 예술 찾기,35.81222619,128.7380534,35.92362,128.89645
경북체육중학교,수상스키 타기,35.81222619,128.7380534,35.95653,128.48785
경북체육중학교,예술로 마음을 도닥인다 : 도닥도닥 사회적 협동조합,35.81222619,128.7380534,35.825122,128.741329
경북체육중학교,화랑도 체험활동,35.81222619,128.7380534,35.8601721,129.1895572
경북체육중학교,박정희대통령 생가 둘러보기,35.81222619,128.7380534,36.12323105,128.3413768
경북체육중학교,쇼콜라티에,35.81222619,128.7380534,35.8024072,128.4964134
경북체육중학교,왜관전적기념관 견학,35.81222619,128.7380534,36.0751451,128.3934432
경북체육중학교,클라이밍,35.81222619,128.7380534,35.63218,128.7182
경북체육중학교,"호국보훈의달 프로그램 「분단의 시작, 한국전쟁이야기」 +  골든벨(역사 체험)",35.81222619,128.7380534,35.96797,128.92488
경산여자중학교,감성민화 그리기,35.8177642,128.7299454,35.9829227,128.3839164
경산여자중학교,"김동리, 박목월 선생님 일대기(시인, 소설가와의 만남, 방송작가, 드라마 영화작가 연계체험)",35.8177642,128.7299454,35.7855363,129.3194854
경산여자중학교,뭐야! 와인이 예술이라고!? 와인에 숨어있는 예술 찾기,35.8177642,128.7299454,35.92362,128.89645
경산여자중학교,수상스키 타기,35.8177642,128.7299454,35.95653,128.48785
경산여자중학교,예술로 마음을 도닥인다 : 도닥도닥 사회적 협동조합,35.8177642,128.7299454,35.825122,128.741329
경산여자중학교,"검사, 검찰 수사관 체험",35.8177642,128.7299454,35.8444497,129.2173
경산여자중학교,경북 찾아가는의사직업체험(산부인과/피부과/외과/성형외과/응급의학과/이비인후과),35.8177642,128.7299454,35.8856993,128.582784
경산여자중학교,민주주의 선거교실,35.8177642,128.7299454,35.7291463,128.2728402
경산여자중학교,사회적기업가의 삶,35.8177642,128.7299454,35.9829227,128.3839164
경산여자중학교,"호국보훈의달 프로그램 「분단의 시작, 한국전쟁이야기」 +  골든벨(역사 체험)",35.8177642,128.7299454,35.96797,128.92488
경산여자중학교,진로체험 - 에너지 환경공학자,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,대기질 엔지니어 (중학생을 위한 친환경 공기청정기 제작)_토라사이언스,35.8177642,128.7299454,36.1084915,128.1878133
경산여자중학교,미래식량자원인 곤충 체험,35.8177642,128.7299454,35.698467,128.5734164
경산여자중학교,"칠곡보 돌아보기(홍수 가뭄 방지, 신재생 에너지 생산)",35.8177642,128.7299454,36.036934,128.4118002
경산여자중학교,컴퓨터 교실 - 파워포인트,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,진로체험 - 에너지 환경공학자,35.8177642,128.7299454,35.81635,128.73541
경산여자중학교,대기질 엔지니어 (중학생을 위한 친환경 공기청정기 제작)_토라사이언스,35.8177642,128.7299454,36.1084915,128.1878133
경산여자중학교,대기질 엔지니어 (중학생을 위한 친환경 공기청정기 제작),35.8177642,128.7299454,35.9927198,128.3872542
경산여자중학교,"칠곡보 돌아보기(홍수 가뭄 방지, 신재생 에너지 생산)",35.8177642,128.7299454,36.036934,128.4118002
경산여자중학교,확 빠진자(건강 상태 체크),35.8177642,128.7299454,35.96797,128.92488
경산여자중학교,감성민화 그리기,35.8177642,128.7299454,35.9829227,128.3839164
경산여자중학교,"드림콘서트(1) 글로벌리더 육성을 위한 진로캠프 - Dream Concert(인성교육, 자존감 높이기)",35.8177642,128.7299454,35.820083,128.7311572
경산여자중학교,방송댄스 (여자)아이들,35.8177642,128.7299454,36.04915,128.4297
경산여자중학교,영어로배우는체육교실,35.8177642,128.7299454,35.64315,128.74319
경산여자중학교,청소년오케스트라 겨울연주캠프,35.8177642,128.7299454,35.8601721,129.1895572
경산여자중학교,"면접,수행평가대비 스피치 클래스",35.8177642,128.7299454,36.04915,128.4297
경산여자중학교,민주주의 선거교실,35.8177642,128.7299454,35.7291463,128.2728402
경산여자중학교,쇼콜라티에,35.8177642,128.7299454,35.8024072,128.4964134
경산여자중학교,예절체험,35.8177642,128.7299454,36.1998392,128.3913747
경산여자중학교,와인맛의 감정사 소믈리에 (식사와 함께하는 와인예절교육),35.8177642,128.7299454,35.92362,128.89645
자인여자중학교,바리스타 진로체험,35.816043,128.827966,36.0954207,128.4334233
자인여자중학교,비대면 VR(가상현실)콘텐츠 제작자(중학생을 위한 미래 신직업 소개 - VR콘텐츠 제작),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,청소년 진로설계 -우연히 주인공이 되는 선택,35.816043,128.827966,36.1020797,128.3820047
자인여자중학교,특수효과전문가(중학생을 위한 미래유망직업 소개) ,35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,확 빠진자(건강 상태 체크),35.816043,128.827966,35.96797,128.92488
자인여자중학교,"면접,수행평가대비 스피치 클래스",35.816043,128.827966,36.04915,128.4297
자인여자중학교,방송댄스,35.816043,128.827966,35.84206,128.78262
자인여자중학교,방송댄스 (여자)아이들,35.816043,128.827966,36.04915,128.4297
자인여자중학교,수상스키 타기,35.816043,128.827966,35.95653,128.48785
자인여자중학교,영어로배우는체육교실,35.816043,128.827966,35.64315,128.74319
자인여자중학교,SW코딩 전문가(중학생을 위한 미래신기술체험_빅보드 체험),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,드림박스 만들기 (중학생을 위한 창의융합 메이커체험),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,메이커전문가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,"오디로 놀자! (오디따기, 오디빙수만들기)(농장 체험)",35.816043,128.827966,35.92362,128.89645
자인여자중학교,파이썬 OpenCV를 이용한 '윌리를 찾아라!'(코딩 체험),35.816043,128.827966,35.96797,128.92488
자인여자중학교,SW코딩 전문가(중학생을 위한 미래신기술체험_빅보드 체험),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,과학교육서포터즈운영,35.816043,128.827966,35.9526215,128.900975
자인여자중학교,과학창작 VR캠프,35.816043,128.827966,35.82159,128.82356
자인여자중학교,진로체험 - 제품 디지이너,35.816043,128.827966,35.81635,128.73541
자인여자중학교,로봇공학자(중학생을 위한 창의융합 미래로봇 체험),35.816043,128.827966,35.9927198,128.3872542
자인여자중학교,댄스 클래스,35.816043,128.827966,36.04915,128.4297
자인여자중학교,스포츠클럽[당구.포켓볼],35.816043,128.827966,35.96797,128.92488
자인여자중학교,스포츠클럽[탁구교실],35.816043,128.827966,35.96797,128.92488
자인여자중학교,와인맛의 감정사 소믈리에 (식사와 함께하는 와인예절교육),35.816043,128.827966,35.92362,128.89645
자인여자중학교,클라이밍,35.816043,128.827966,35.63218,128.7182
