학교명,체험처,주소,위도,경도
감문중학교,국립종자원,경북 김천시 혁신8로 119,36.12628545,128.19291404888932
감문중학교,김천요리제과 직업전문학교,경북 김천시 김천로 51,36.1181018,128.1238108
감문중학교,김천은호승마 클럽,경북 김천시 개령면 김선로 23-13,36.1676257,128.2010368
감문중학교,꽃누리,경북 포항시 북구 법원로 152,36.0817098,129.3855184
감문중학교,나다음에듀,대구 수성구 동대구로80길 14,35.8662683,128.6305281
감문중학교,라라의 공방,경북 경주시 금성로 382,35.8487459,129.2069856
감포중학교,경상북도발명교육체험관,경북 안동시 풍천면 도청대로 511,36.5561924,128.5065299
감포중학교,경상북도발명교육체험관,경북 안동시 풍천면 도청대로 511,36.5561924,128.5065299
감포중학교,위덕대학교,경상북도 경주시 강동면 동해대로 261,36.01221125,129.28441145446098
감포중학교,위덕대학교,경상북도 경주시 강동면 동해대로 261,36.01221125,129.28441145446098
감포중학교,화랑마을,경북 경주시 석현로 123,35.8601721,129.1895572
감포중학교,화랑마을,경북 경주시 석현로 123,35.8601721,129.1895572
강구중학교,청하기청산식물원,경북 포항시 북구 청하면 청하로175번길 50,36.1944228,129.3362513
경구중학교,경북청소년,경북 김천시 아포읍 대성지1길 593-43,36.1587802,128.260222
경구중학교,경북환경연수원,경북 구미시 금오산로 336-97,36.1258311,128.3363634
경구중학교,경북환경연수원,경북 구미시 금오산로 336-97,36.1258311,128.3363634
경구중학교,금융감독원,대구 수성구 달구벌대로 2424 삼성증권빌딩 7층,35.85833785,128.62749349835593
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,어깨동무 교육지원센터,경북 경산시 펜타힐즈2로 37,35.8274531,128.71858410334056
경구중학교,한국생산성본부,대구 동구 동대구로 489,35.8769113,128.6262538
경구중학교,활동진흥센터,대구 중구 중앙대로81길 66-5,35.8702574,128.5931978
경산여자중학교,경산마태우리승마장,경북 경산시 자인면 원효로156길 127,35.82159,128.82356
경산여자중학교,경산수학체험센터,"경북 경산시 삼성현로 110 1,2층",35.8198801,128.7186019
경산여자중학교,남부미래교육관,경상북도 경산시 삼성현로 110,35.8198801,128.7186019
경산여자중학교,삼성현 역사문화공원,경북 경산시 남산면 삼성현공원로 59,35.8011788,128.7991059
경산여자중학교,청소년수련원,경북 경산시 자인면 일연로 311-6,35.8297256,128.8145149
경산제일중학교,경산소방서,경상북도 경산시 압량읍 김유신로 12,35.83834935,128.76951226991162
경산제일중학교,남부미래교육관,경상북도 경산시 삼성현로 110,35.8198801,128.7186019
경산제일중학교,의성안전체험관,경북 의성군 다인면 자미로 492,36.4494762,128.3565875
경산제일중학교,청도운문산,경북 청도군 운문면 운문로 763,35.67868,128.98294
경산제일중학교,학생문화예술회관,경북 포항시 북구 환호로 50,36.0735235,129.39151722903216
경산제일중학교,한국에너지공단,대구 달서구 성서공단로 52,35.835766,128.5097092
경산제일중학교,화랑교육원,경상북도 경주시 새남산길 62,35.8556705,129.2248811
경산중학교,남부미래교육관,경상북도 경산시 삼성현로 110,35.8198801,128.7186019
경산중학교,아트힐다락,대구 남구 중앙대로 259,35.8442862,128.5905428
경산중학교,영남일보,대구 동구 동대구로 441,35.8769113,128.6262538
경산중학교,진학사,경북 포항시 북구 우창동로 1,36.0545205,129.3601012
경안중학교,(사)한국청소년체험세상,대구 남구 명덕로 104,35.854606000000004,128.58106212579864
경안중학교,교육사회적기업 포인트,대구 달서구 상원로 100,35.8193114,128.5309507
경안중학교,글로벌인재개발연구원,경북 경산시 강변서로 111,35.820083,128.7311572
경안중학교,핸즈체험터,대구 달성군 화원읍 비슬로487길 34,35.8024072,128.4964134
경안중학교,행복드림인재개발원,대구광역시 동구 장등로 24,35.8718359,128.623812
경주중학교,경주 고도도예,경북 경주시 밝은마을길 19-21,35.8556705,129.2248811
경주중학교,경주 서악서원,경상북도 경주시 서악2길 23,35.8556705,129.2248811
경주중학교,경주 황성공원,경상북도 경주시 황성공원로 29,35.8607325,129.210739
계림중학교,황성숲,경북 경주시 황성동,35.87055,129.21522
구룡포중학교,경상북도교육청 영일도서관,경북 포항시 북구 흥해읍 흥해로 101,36.11381955,129.3459188
구룡포중학교,경주엑스포대공원,경북 경주시 경감로 614,35.8331602,129.2926403
구룡포중학교,커리어넷,대구 서구 달구벌대로 1733 제산빌딩 2층,35.8622279,128.5720354
구룡포중학교,포항 남부 청소년경찰학교,경북 포항시 남구 문예로126번길 15,36.01659,129.3682629
구룡포중학교,포항시 진로진학지원센터,경북 포항시 남구 시청로 1,36.0190154,129.3432304248518
구룡포중학교,포항시 진로진학지원센터,경북 포항시 남구 시청로 1,36.0190154,129.3432304248518
구미신평중학교,전통문화체험학교,경북 칠곡군 기산면 지산로 483,35.98284,128.35992
구미신평중학교,한국 청소년 진로 개발원,대구 수성구 화랑로 190-3 201,35.8738161,128.6403593
구미신평중학교,한국 청소년 진로 개발원,대구 수성구 화랑로 190-3 201,35.8738161,128.6403593
구미신평중학교,핸즈체험터,대구 달성군 화원읍 비슬로487길 34,35.8024072,128.4964134
구미여자중학교,글로벌인재개발연구원,경북 경산시 강변서로 111,35.820083,128.7311572
구미여자중학교,미래핵심인재교육원,경북 구미시 1공단로 169,36.1020797,128.3820047
구미여자중학교,㈜경북숲연구소,경북 구미시 금오산로 419,36.1249459,128.3340271
구미인덕중학교 ,구미대학교,경상북도 구미시 야은로 37,36.1501925,128.2883339216063
구미인덕중학교 ,구미진로체험지원센터,경상북도 구미시 야은로 37,36.1501925,128.2883339216063
구미인덕중학교 ,김천녹색미래과학관,경상북도 김천시 혁신6로 31,36.1245979,128.18457853174817
구미인덕중학교 ,김천녹색미래과학관,경상북도 김천시 혁신6로 31,36.1245979,128.18457853174817
구미인덕중학교 ,나다음에듀,대구 수성구 동대구로80길 14,35.8662683,128.6305281
구미인덕중학교 ,법문화교육센터,경상북도 김천시 문당길 142,36.1467066,128.0914574
구미인덕중학교 ,법문화교육센터,경상북도 김천시 문당길 142,36.1467066,128.0914574
구미인덕중학교 ,법문화교육센터,경상북도 김천시 문당길 142,36.1467066,128.0914574
구미중학교,김천녹색미래과학관,경상북도 김천시 혁신6로 31,36.1245979,128.18457853174817
구미중학교,미래인재교육원,대구 남구 현충로 170,35.847321699999995,128.58504502768838
구미중학교,행복한교육총연합회,대구 중구 대봉로 238,35.8566739,128.6029157
군위중학교,국립칠곡숲체원,경북 칠곡군 석적읍 유학로 532,36.0791924,128.4123174
군위중학교,국제아트앤아카데미,대구 달서구 조암로 6길 20,35.825086,128.5269945
군위중학교,김천녹색미래과학관,경상북도 김천시 혁신6로 31,36.1245979,128.18457853174817
군위중학교,선산청소년수련원,경북 구미시 선산읍 단계동길 270,36.2429557,128.2990433
군위중학교,스프링캠프,대구 달서구 진천로 75-7,35.8100628,128.5274016
