학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000010912,금천중학교,중학교,1952-02-10,공립,본교,운영,경상북도 청도군 금천면 동곡리 1035,경상북도 청도군 금천면 선암로 574-11 (금천면. 금천중고등학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.68807595,128.8947636,2023-03-22
B000025146,별빛중학교,중학교,2016-03-01,공립,본교,운영,경상북도 영천시 고경면 해선리 240-3,경상북도 영천시 고경면 월천길 1-27 . 별빛중학교 (고경면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.00232912,129.0432455,2023-03-22
B000010932,인평중학교,중학교,2009-03-01,공립,본교,운영,경상북도 칠곡군 북삼읍 인평리 518-2,경상북도 칠곡군 북삼읍 북삼로 223 (북삼읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.06259352,128.3356923,2023-03-22
B000010756,복주여자중학교,중학교,1981-12-08,공립,본교,운영,경상북도 안동시 당북동 333-1,경상북도 안동시 안기천로 58 (당북동. 복주여자중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.56259417,128.7180369,2023-03-22
B000010913,이서중학교,중학교,1952-03-01,사립,본교,운영,경상북도 청도군 이서면 서원리 331-3,경상북도 청도군 이서면 학산1길 22 (이서면. 이서고등학교.이서중학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.66249467,128.6684614,2023-03-22
B000010864,경산제일중학교,중학교,1970-03-01,사립,본교,운영,경상북도 경산시 자인면 동부리 208,경상북도 경산시 자인면 원효로 851-16 자인여자중학교 (자인면),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.81594134,128.8278876,2023-03-22
B000023752,운남중학교,중학교,2021-03-01,공립,본교,운영,경상북도 김천시 율곡동 370,경상북도 김천시 우래1길 7 (율곡동. 운남중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.12200032,128.1791173,2023-03-22
B000010931,장곡중학교,중학교,2001-03-06,공립,본교,운영,경상북도 칠곡군 석적읍 중리 246,경상북도 칠곡군 석적읍 남중리8길 13 . 장곡중학교 (석적읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,36.07345548,128.4150883,2023-03-22
B000010952,춘양중학교,중학교,1951-05-27,공립,본교,운영,경상북도 봉화군 춘양면 서동리 83-1,경상북도 봉화군 춘양면 서원촌길 8-14 (춘양면),8750000,경상북도교육청,8961000,경상북도봉화교육지원청,2013-11-29,2022-10-06,36.94786297,128.914111,2023-03-22
B000010964,기성중학교,중학교,1969-10-14,공립,본교,운영,경상북도 울진군 기성면 기성리 288,경상북도 울진군 기성면 기성본길 58-5 . 기성중학교 (기성면. 기성중학교),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,36.79929299,129.4572006,2023-03-22
