,학교명,위치,학생수,예산(만원),매칭교과,강좌명,활동목표,위도,경도
0,경북체육중학교,경산시,26.0,700.0,과학,내가 닮고 싶은 과학자 이야기," 1. 과학자가 들려주는 과학 이야기를 읽고 내가 닮고 싶은 과학자에 대한 자료를 조사하여 분석, 정리  하여 나만의 과학책을 만들 수 있다.
 2. 자신이 만든 과학책을 영상으로 만들어 친구들에게 소개하고 감상평을 듣고 쓰는 활동을 통해 과학지식을 재해석하고 토론할 수 있다.",35.81222619,128.7380534
1,경북체육중학교,경산시,26.0,700.0,국어,문학에 빠지다," 1. 문학에 대한 이해를 높이고, 책 읽기를 통하여 문학에 대한 이해를 기를 수 있다.
 2. 독후 다양한 활동을 통해 표현력을 높이고 문학적 감수성을 기를 수 있다. ",35.81222619,128.7380534
2,경북체육중학교,경산시,26.0,700.0,사회,영화 속 사회," 1. 일본군 위안부와 관련된 자료를 찾아 그 실상을 알고, 홍보 굿즈를 제작해 보면서 우리의 역할과 책임감을 느낄 수 있다.
 2. 일본군 위안부의 실상을 전 세계에 알리기 위한 홍보 계획을 세운 후 홍보하고 싶은 나라의 랜드마크를 찾아 스티커 제작물을 만들 수 있다.",35.81222619,128.7380534
3,경산여자중학교,경산시,281.0,2985.0,국어,시 감상과 모방시 창작," 1. 문학은 심미적 체험을 바탕으로 한 다양한 소통 활동임을 알고 문학 활동을 할 수 있다. 
 2. 시 작품을 감상 한 후 가장 감명받은 작품을 선정 한 후 작품을 기초로 한 편의 모방시를 창작한다.
 3. 모둠화 그리기 및 신문 스크랩만들기",35.8177642,128.7299454
4,경산여자중학교,경산시,281.0,2985.0,사회,내가 만들어가는 민주정치,"1. 민주 정치를 실현하기 위한 노력을 국가와 시민의 차원에서 탐구하여 설명할 수 있다.
2. 다양한 가치와 이익이 정치과정을 통해 조정되고, 정치과정에 참여하는 정치 주체의 역할을 설명할 수 있다.",35.8177642,128.7299454
5,경산여자중학교,경산시,281.0,2985.0,수학,통계로 알아보는 환경교육," 1. 자료의 홍수 속에 살고 있는 현대사회에 다양한 자료와 정보를 수집·정리·분석·활용하여 정보를 해석하고 비판적으로 평가하며 의사소통을 통해 자료가 갖는 의미를 해석하는 능력을 기를 수 있다.
 2. 통계로 알아보는 환경 보존의 필요성을 인식할 수 있다.",35.8177642,128.7299454
6,경산여자중학교,경산시,281.0,2985.0,과학,지구의 생태 환경,"
1. 인간이 환경에 미치는 영향을 이해하고 인간으로 인한 환경의 파괴를 설명 할 수 있다.
2. 환경파괴로 인한 결과가 인간에게 미치는 영향을 알 수 있다.",35.8177642,128.7299454
7,경산여자중학교,경산시,281.0,2985.0,영어,"영어 발음, 영어동화 읽기 및 제작","인권, 다문화 환경,올바른 윤리적 사고 , 환경 등의 내용을 포함한 다양한 영어 동화를 접하여 바람직한 세계시민 역량을 기르고 영어 표현을 배울 수 있다. ",35.8177642,128.7299454
8,경산여자중학교,경산시,281.0,2985.0,중국어,차이나(China)는 클래스 ,"
1. 기초적인 의사소통 기본 표현을 이해하고, 상황에 맞게 적극적으로 활용한다.
2. 외국 문화의 이해를 통해 의사소통 능력을 함양하고, 해당 문화에 대한 배려심과 존중의 자세를      확립한다.
3. 다양한 매체와 자료를 통해 학습 해당국 관련 정보를 선별하여 활용하는 능력을 기른다. ",35.8177642,128.7299454
9,자인여자중학교,경산시,12.0,700.0,국어,영상으로 보는 나,"
 1. 영상 매체에 대한 이해도를 높이고, 영상 제작을 통해 자신을 성찰할 수 있게 한다. 
 2. 나에 대한 다양한 접근을 통해 자신을 이해하고, 보다 적극적인 자세로 진로를 설계할 수 있게 한다. ",35.816043,128.827966
