제목,인원,참가비,기관명,세부정보,주소,위도,경도
"""DIY"" 자양 바로담아 고추장담그기",1000,"30,000원",자양전통장,고추장 담금 활동을 통해 요리에 대한 흥미를 발견하고 일의 중요성을 알아본다 자신이 좋아하는 요리사와 한식 요리에 대해 검색해보기,경북 영천시 자양면 별빛로 961-14,36.1382617,129.0073776
"""DIY"" 자양 바로담아 고추장담그기(실속)",999,"25,000원",자양전통장,전통 고추장을 직접 담아 안정한 먹거리를 먹어보고 우리 전통 고추장을 쉽게 담아볼 수있다 고추장을 담아보고 재료와 담그는 방법에 대해서 생각 해보기,경북 영천시 자양면 별빛로 961-14,36.1382617,129.0073776
가상현실전문가,10,무료,문경시청소년문화의집,(행복한 진로) 가상현실전문가,경상북도 문경시 모전동 77-13,36.591216,128.1870866
목공예원,10,무료,문경시청소년문화의집,(행복한 진로) 목공예원,경상북도 문경시 모전동 77-13,36.591216,128.1870866
애견훈련사,10,무료,문경시청소년문화의집,(행복한 진로) 애견훈련사,경상북도 문경시 모전동 77-13,36.591216,128.1870866
언플로그드 코딩융합전문가,10,무료,문경시청소년문화의집,(행복한 진로) 언플로그드 코딩융합전문가,경상북도 문경시 모전동 77-13,36.591216,128.1870866
청년농부,10,무료,문경시청소년문화의집,(행복한 진로) 청년농부,경상북도 문경시 모전동 77-13,36.591216,128.1870866
카지노딜러,10,무료,문경시청소년문화의집,(행복한 진로) 카지노딜러,경상북도 문경시 모전동 77-13,36.591216,128.1870866
환경활동가,10,무료,문경시청소년문화의집,(행복한 진로) 환경활동가,경상북도 문경시 모전동 77-13,36.591216,128.1870866
웹툰작가,10,무료,문경시청소년문화의집,"(행복한 진로), 웹툰작가",경상북도 문경시 모전동 77-13,36.591216,128.1870866
드론조종사,10,무료,문경시청소년문화의집,"(행복한 진로), 드론조종사",경상북도 문경시 모전동 77-13,36.591216,128.1870866
디저트디자이너,10,무료,문경시청소년문화의집,"(행복한 진로), 디저트디자이너",경상북도 문경시 모전동 77-13,36.591216,128.1870866
